"CODIST","COUNTY"
"00","EDUCATIONAL SERVICE UNITS"
"01","ADAMS"
"02","ANTELOPE"
"03","ARTHUR"
"04","BANNER"
"05","BLAINE"
"06","BOONE"
"07","BOX BUTTE"
"08","BOYD"
"09","BROWN"
"10","BUFFALO"
"11","BURT"
"12","BUTLER"
"13","CASS"
"14","CEDAR"
"15","CHASE"
"16","CHERRY"
"17","CHEYENNE"
"18","CLAY"
"19","COLFAX"
"20","CUMING"
"21","CUSTER"
"22","DAKOTA"
"23","DAWES"
"24","DAWSON"
"25","DEUEL"
"26","DIXON"
"27","DODGE"
"28","DOUGLAS"
"29","DUNDY"
"30","FILLMORE"
"31","FRANKLIN"
"32","FRONTIER"
"33","FURNAS"
"34","GAGE"
"35","GARDEN"
"36","GARFIELD"
"37","GOSPER"
"38","GRANT"
"39","GREELEY"
"40","HALL"
"41","HAMILTON"
"42","HARLAN"
"43","HAYES"
"44","HITCHCOCK"
"45","HOLT"
"46","HOOKER"
"47","HOWARD"
"48","JEFFERSON"
"49","JOHNSON"
"50","KEARNEY"
"51","KEITH"
"52","KEYA PAHA"
"53","KIMBALL"
"54","KNOX"
"55","LANCASTER"
"56","LINCOLN"
"57","LOGAN"
"58","LOUP"
"59","MADISON"
"60","MCPHERSON"
"61","MERRICK"
"62","MORRILL"
"63","NANCE"
"64","NEMAHA"
"65","NUCKOLLS"
"66","OTOE"
"67","PAWNEE"
"68","PERKINS"
"69","PHELPS"
"70","PIERCE"
"71","PLATTE"
"72","POLK"
"73","RED WILLOW"
"74","RICHARDSON"
"75","ROCK"
"76","SALINE"
"77","SARPY"
"78","SAUNDERS"
"79","SCOTTS BLUFF"
"80","SEWARD"
"81","SHERIDAN"
"82","SHERMAN"
"83","SIOUX"
"84","STANTON"
"85","THAYER"
"86","THOMAS"
"87","THURSTON"
"88","VALLEY"
"89","WASHINGTON"
"90","WAYNE"
"91","WEBSTER"
"92","WHEELER"
"93","YORK"
